Partner Name,Tier,Location,References,Certified Experts,Profile URL,Certified Versions,References Total,Customer Retention %,Largest Reference Users,Average Reference Users,Reference Industries,RI_Agriculture,RI_Construction_Renovation,RI_ECO_liable_to_deduct_TCS_u_s_52,RI_ECO_liable_to_pay_GST_u_s_9_5,RI_Education,RI_Entertainment_Media,RI_Finance_Legal_Insurance,RI_Food_Hospitality_Tourism_Beverage,RI_Government,RI_HR_Administrative_Consulting,RI_Health_Social_Welfare_Pharmaceutical,RI_Households,RI_IT_Communication_Marketing,RI_Manufacturing_Maintenance,RI_Mining_Quarrying,RI_NGO,RI_Other_Services,RI_Real_Estate,RI_Science_Technology,RI_Transportation_Logistics,RI_Utilities_Energy_Water_supply,RI_Wholesale_Retail
"Enersys Co.,Ltd.",Silver,"Thailand , Bangkok , วัฒนา , 10110",1,1,https://www.odoo.com/partners/enersys-coltd-19944763,v18:1,,100.0,200,156,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inspire HUB,Silver,"Saudi Arabia , Jubail , Khaldia District , 35517-8102",1,1,https://www.odoo.com/partners/inspire-hub-24737335,v17:1,,100.0,200,70,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linkfields Innovations Pvt Ltd.,Silver,"South Africa , Midrand , 1684",1,2,https://www.odoo.com/partners/linkfields-innovations-pvt-ltd-12590167,v17:2,,100.0,100,40,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sports Tech,Silver,"Saudi Arabia , Riyadh , 12213",1,3,https://www.odoo.com/partners/sports-tech-20174126,v18:3,,100.0,100,75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
블루스톤솔루션,Silver,"South Korea , 서울 , 07257",1,3,https://www.odoo.com/partners/블루스톤솔루션-24056873,v18:3,,100.0,200,151,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AtyrauTechInvest,Silver,"Kazakhstan , Atyrau , 060000",0,3,https://www.odoo.com/partners/atyrautechinvest-20385460,v18:3,,100.0,100,55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proactive Solutions,Silver,"Saudi Arabia , Riyadh , 13316",0,6,https://www.odoo.com/partners/proactive-solutions-14371954,v18:2; v17:4,,100.0,400,176,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMART Outsourcing and Business Consulting BV,Ready,"Curaçao , Willemstad , 0000CW",97,8,https://www.odoo.com/partners/smart-outsourcing-and-business-consulting-bv-4994232,v18:4; v17:4,97.0,85.0,100,10,Wholesale / Retail 17 Utilities / Energy / Water supply 12 Other Services 9 Finance / Legal / Insurance 9 IT / Communication / Marketing 8 Food / Hospitality / Tourism / Beverage 6 NGO 4 Real Estate 4 Manufacturing / Maintenance 4 Education 4,0,0,0,0,4,0,9,6,0,0,0,0,8,4,0,4,9,4,0,0,12,17
Digital Techno.Net,Ready,"French Polynesia , Papeete , 98713",96,5,https://www.odoo.com/partners/digital-technonet-1677450,v18:2; v17:3,96.0,92.0,200,9,Wholesale / Retail 26 Food / Hospitality / Tourism / Beverage 14 Construction & Renovation 10 Other Services 8 Finance / Legal / Insurance 6 Government 6 Transportation/Logistics 4 IT / Communication / Marketing 4 Agriculture 4 Manufacturing / Maintenance 3,4,10,0,0,0,0,6,14,6,0,0,0,4,3,0,0,8,0,0,4,0,26
7th Computing,Ready,"Myanmar , Yangon , 1142",75,2,https://www.odoo.com/partners/7th-computing-135145,v18:1; v17:1,75.0,94.0,100,18,Wholesale / Retail 15 Other Services 5 Food / Hospitality / Tourism / Beverage 5 Construction & Renovation 4 Education 3 Agriculture 2 Health / Social Welfare / Pharmaceutical 2 Transportation/Logistics 2 Manufacturing / Maintenance 2 Real Estate 1,2,4,0,0,3,0,0,5,0,0,2,0,0,2,0,0,5,1,0,2,0,15
Extreme Micro S.L.,Ready,"Spain , Barcelona , Mataró , 08304",67,1,https://www.odoo.com/partners/extreme-micro-sl-1803689,v17:1,67.0,96.0,40,4,Manufacturing / Maintenance 12 Wholesale / Retail 11 IT / Communication / Marketing 5 Food / Hospitality / Tourism / Beverage 4 Other Services 4 Construction & Renovation 2 Government 1 Transportation/Logistics 1 Health / Social Welfare / Pharmaceutical 1 Utilities / Energy / Water supply 1,0,2,0,0,0,0,0,4,1,0,1,0,5,12,0,0,4,0,0,1,1,11
Grupo Quanam,Ready,"Peru , Santiago de Surco - Lima , 15023",63,0,https://www.odoo.com/partners/grupo-quanam-1729730,,63.0,,700,39,Manufacturing / Maintenance 4 Wholesale / Retail 3 Food / Hospitality / Tourism / Beverage 2 Science & Technology 2 Transportation/Logistics 1 Construction & Renovation 1 IT / Communication / Marketing 1 Households 1 Health / Social Welfare / Pharmaceutical 1 Other Services 1,0,1,0,0,0,0,0,2,0,0,1,1,1,4,0,0,1,0,2,1,0,3
Cube of Solutions مكعب الحلول,Ready,"Saudi Arabia , Jeddah",62,3,https://www.odoo.com/partners/cube-of-solutions-مكعب-الحلول-2426917,v18:3,62.0,95.0,100,6,Construction & Renovation 7 Wholesale / Retail 7 Food / Hospitality / Tourism / Beverage 5 Real Estate 4 IT / Communication / Marketing 4 Other Services 3 Finance / Legal / Insurance 3 Education 2 Science & Technology 2 Entertainment / Media 2,0,7,0,0,2,2,3,5,0,0,0,0,4,0,0,0,3,4,2,0,0,7
"Alien Group, Lda",Ready,"Angola , Luanda , 0000",57,1,https://www.odoo.com/partners/alien-group-lda-17470,v18:1,57.0,,100,8,Wholesale / Retail 6 Transportation/Logistics 4 Other Services 3 Science & Technology 2 Health / Social Welfare / Pharmaceutical 2 Construction & Renovation 1 Finance / Legal / Insurance 1 Agriculture 1 HR / Administrative / Consulting 1 Manufacturing / Maintenance 1,1,1,0,0,0,0,1,0,0,1,2,0,0,1,0,0,3,0,2,4,0,6
Centione,Ready,"Egypt , Cairo , 11531",57,0,https://www.odoo.com/partners/centione-808981,,57.0,85.0,200,26,Wholesale / Retail 19 Manufacturing / Maintenance 13 IT / Communication / Marketing 7 Real Estate 5 Construction & Renovation 5 Utilities / Energy / Water supply 5 Health / Social Welfare / Pharmaceutical 5 Transportation/Logistics 4 Food / Hospitality / Tourism / Beverage 3 Agriculture 3,3,5,0,0,0,0,0,3,0,0,5,0,7,13,0,0,0,5,0,4,5,19
Varoconsult,Ready,"Belgium , Kampenhout , 1910",57,1,https://www.odoo.com/partners/varoconsult-3224311,v18:1,57.0,97.0,20,2,Construction & Renovation 13 Wholesale / Retail 12 Other Services 9 IT / Communication / Marketing 7 Manufacturing / Maintenance 5 HR / Administrative / Consulting 3 Food / Hospitality / Tourism / Beverage 3 Health / Social Welfare / Pharmaceutical 2 Real Estate 1 Entertainment / Media 1,0,13,0,0,0,1,0,3,0,3,2,0,7,5,0,0,9,1,0,0,0,12
ADQUAT,Ready,"France , Saint Chamond , 42400",55,2,https://www.odoo.com/partners/adquat-17571,v18:1; v17:1,55.0,83.0,100,12,Wholesale / Retail 9 Utilities / Energy / Water supply 7 Other Services 7 Manufacturing / Maintenance 6 IT / Communication / Marketing 5 Households 2 Food / Hospitality / Tourism / Beverage 2 Health / Social Welfare / Pharmaceutical 2 Science & Technology 2 Transportation/Logistics 2,0,0,0,0,0,0,0,2,0,0,2,2,5,6,0,0,7,0,2,2,7,9
Concept Solutions,Ready,"Egypt , Cairo Governorate",55,3,https://www.odoo.com/partners/concept-solutions-7169707,v18:1; v17:2,55.0,,100,9,Wholesale / Retail 17 Construction & Renovation 9 Manufacturing / Maintenance 9 Utilities / Energy / Water supply 6 Health / Social Welfare / Pharmaceutical 5 Agriculture 2 Science & Technology 2 IT / Communication / Marketing 1 Mining & Quarrying 1 Education 1,2,9,0,0,1,0,0,0,0,0,5,0,1,9,1,0,0,0,2,0,6,17
Grupo OLA,Ready,"Costa Rica , Heredia , 40301",54,3,https://www.odoo.com/partners/grupo-ola-1690891,v18:3,54.0,,200,25,Wholesale / Retail 6 Education 2 Construction & Renovation 2 Science & Technology 1 Manufacturing / Maintenance 1 Finance / Legal / Insurance 1 Food / Hospitality / Tourism / Beverage 1 IT / Communication / Marketing 1,0,2,0,0,2,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,6
"Voodoo Enterprise Software, S.L.",Ready,"Spain , Madrid , Madrid , 28028",54,3,https://www.odoo.com/partners/voodoo-enterprise-software-sl-4936857,v18:1; v17:2,54.0,100.0,50,11,Wholesale / Retail 10 Manufacturing / Maintenance 9 IT / Communication / Marketing 8 Food / Hospitality / Tourism / Beverage 5 Transportation/Logistics 3 Education 3 Real Estate 2 Finance / Legal / Insurance 2 Science & Technology 2 Other Services 2,0,0,0,0,3,0,2,5,0,0,0,0,8,9,0,0,2,2,2,3,0,10
Open Future Sàrl,Ready,"Switzerland , Genève , Genève , 1204",53,0,https://www.odoo.com/partners/open-future-sarl-5931413,,53.0,91.0,20,2,Other Services 6 Health / Social Welfare / Pharmaceutical 6 Food / Hospitality / Tourism / Beverage 6 Wholesale / Retail 6 Manufacturing / Maintenance 5 Construction & Renovation 4 Agriculture 4 Science & Technology 3 IT / Communication / Marketing 3 Entertainment / Media 3,4,4,0,0,0,3,0,6,0,0,6,0,3,5,0,0,6,0,3,0,0,6
Vauxoo Costa Rica,Ready,"Costa Rica , San José , 11502",52,2,https://www.odoo.com/partners/vauxoo-costa-rica-2362863,v18:2,52.0,85.0,400,31,IT / Communication / Marketing 10 Wholesale / Retail 4 Food / Hospitality / Tourism / Beverage 3 Manufacturing / Maintenance 3 Other Services 3 Health / Social Welfare / Pharmaceutical 2 Construction & Renovation 2 Science & Technology 1 Finance / Legal / Insurance 1 Education 1,0,2,0,0,1,0,1,3,0,0,2,0,10,3,0,0,3,0,1,0,0,4
Cloud Systems for Information Technology Co,Ready,"Saudi Arabia , Jeddah , 23462",51,2,https://www.odoo.com/partners/cloud-systems-for-information-technology-co-13301188,v18:1; v17:1,51.0,92.0,200,14,Real Estate 20 Wholesale / Retail 11 Other Services 5 Manufacturing / Maintenance 3 Construction & Renovation 3 Finance / Legal / Insurance 2 Transportation/Logistics 2 Science & Technology 1 Government 1 Food / Hospitality / Tourism / Beverage 1,0,3,0,0,0,0,2,1,1,0,0,0,0,3,0,0,5,20,1,2,0,11
MuK IT GmbH,Ready,"Austria , Vienna , 1030",51,2,https://www.odoo.com/partners/muk-it-gmbh-1339803,v18:1; v17:1,51.0,88.0,40,8,Wholesale / Retail 13 IT / Communication / Marketing 10 Other Services 7 Food / Hospitality / Tourism / Beverage 6 Health / Social Welfare / Pharmaceutical 4 Construction & Renovation 3 Manufacturing / Maintenance 2 Science & Technology 2 HR / Administrative / Consulting 2 Entertainment / Media 1,0,3,0,0,0,1,0,6,0,2,4,0,10,2,0,0,7,0,2,0,0,13
Dataliza,Ready,"Mexico , Baja California , Tijuana , 22106",50,1,https://www.odoo.com/partners/dataliza-19561010,v17:1,50.0,100.0,100,15,Manufacturing / Maintenance 8 Wholesale / Retail 7 Food / Hospitality / Tourism / Beverage 7 Other Services 3 Entertainment / Media 2 IT / Communication / Marketing 2 Construction & Renovation 1 HR / Administrative / Consulting 1 Health / Social Welfare / Pharmaceutical 1 Science & Technology 1,0,1,0,0,0,2,0,7,0,1,1,0,2,8,0,0,3,0,1,0,0,7
MoonSun PTY LTD,Ready,"Australia , Victoria , Chadstone , 3148",49,1,https://www.odoo.com/partners/moonsun-pty-ltd-7215113,v18:1,49.0,83.0,20,3,Wholesale / Retail 17 Health / Social Welfare / Pharmaceutical 5 Manufacturing / Maintenance 3 Construction & Renovation 2 Finance / Legal / Insurance 2 Other Services 2 Education 2 IT / Communication / Marketing 1 Utilities / Energy / Water supply 1,0,2,0,0,2,0,2,0,0,0,5,0,1,3,0,0,2,0,0,0,1,17
Kuwait Protocol General Trading Company,Ready,"Kuwait , Sharq , 13021",48,5,https://www.odoo.com/partners/kuwait-protocol-general-trading-company-903173,v18:4; v17:1,48.0,84.0,100,12,Wholesale / Retail 18 Food / Hospitality / Tourism / Beverage 8 Manufacturing / Maintenance 5 Health / Social Welfare / Pharmaceutical 5 IT / Communication / Marketing 4 Finance / Legal / Insurance 3 Utilities / Energy / Water supply 2 Construction & Renovation 1 Transportation/Logistics 1 Science & Technology 1,0,1,0,0,0,0,3,8,0,0,5,0,4,5,0,0,0,0,1,1,2,18
Nugleo,Ready,"Costa Rica , San Jose , 10101",48,0,https://www.odoo.com/partners/nugleo-5411226,,48.0,86.0,50,9,Wholesale / Retail 12 Food / Hospitality / Tourism / Beverage 6 Finance / Legal / Insurance 5 Other Services 5 Health / Social Welfare / Pharmaceutical 4 Utilities / Energy / Water supply 4 Science & Technology 4 Construction & Renovation 3 Manufacturing / Maintenance 2 Education 1,0,3,0,0,1,0,5,6,0,0,4,0,0,2,0,0,5,0,4,0,4,12
Simplidoo Sàrl,Ready,"Switzerland , Sion , 1950",48,1,https://www.odoo.com/partners/simplidoo-sarl-22574793,v18:1,48.0,98.0,30,3,Other Services 9 Food / Hospitality / Tourism / Beverage 6 Finance / Legal / Insurance 5 Construction & Renovation 4 Agriculture 3 Wholesale / Retail 3 Entertainment / Media 3 Transportation/Logistics 2 Utilities / Energy / Water supply 2 Education 2,3,4,0,0,2,3,5,6,0,0,0,0,0,0,0,0,9,0,0,2,2,3
Vanmarcke Software BV,Ready,"Belgium , Veurne , 8630",48,1,https://www.odoo.com/partners/vanmarcke-software-bv-14303196,v18:1,48.0,98.0,10,1,Wholesale / Retail 13 Food / Hospitality / Tourism / Beverage 9 Construction & Renovation 7 Other Services 6 Manufacturing / Maintenance 3 Agriculture 2 Entertainment / Media 2 Transportation/Logistics 1 Science & Technology 1 Real Estate 1,2,7,0,0,0,2,0,9,0,0,0,0,0,3,0,0,6,1,1,1,0,13
VK DATA ApS,Ready,"Denmark , Tønder , 6270",46,2,https://www.odoo.com/partners/vk-data-aps-724251,v18:1; v17:1,46.0,94.0,200,14,Manufacturing / Maintenance 11 Wholesale / Retail 10 Construction & Renovation 6 Other Services 5 Science & Technology 4 Health / Social Welfare / Pharmaceutical 4 IT / Communication / Marketing 4 Agriculture 2 Entertainment / Media 1,2,6,0,0,0,1,0,0,0,0,4,0,4,11,0,0,5,0,4,0,0,10
Felix Meier,Ready,"Germany , Sachsen-Anhalt , Magdeburg , 39114",45,1,https://www.odoo.com/partners/felix-meier-6159857,v18:1,45.0,86.0,200,10,Wholesale / Retail 9 Other Services 6 Health / Social Welfare / Pharmaceutical 6 Manufacturing / Maintenance 4 Food / Hospitality / Tourism / Beverage 3 IT / Communication / Marketing 2 Transportation/Logistics 2 Agriculture 1 Utilities / Energy / Water supply 1 Construction & Renovation 1,1,1,0,0,0,0,0,3,0,0,6,0,2,4,0,0,6,0,0,2,1,9
GRUPO TREMING S.A. de C.V.,Ready,"El Salvador , San Salvador",45,4,https://www.odoo.com/partners/grupo-treming-sa-de-cv-14640630,v18:1; v17:3,45.0,89.0,200,27,Wholesale / Retail 11 Manufacturing / Maintenance 8 Government 3 Other Services 3 Construction & Renovation 1 Finance / Legal / Insurance 1 Science & Technology 1 Health / Social Welfare / Pharmaceutical 1 IT / Communication / Marketing 1 Agriculture 1,1,1,0,0,0,0,1,0,3,0,1,0,1,8,0,0,3,0,1,0,0,11
Dinamiche Aziendali Srl,Ready,"Italy , Napoli , Napoli NA , 80143",44,1,https://www.odoo.com/partners/dinamiche-aziendali-srl-724492,v17:1,44.0,95.0,100,10,IT / Communication / Marketing 10 Manufacturing / Maintenance 7 Wholesale / Retail 7 Other Services 5 Science & Technology 4 Health / Social Welfare / Pharmaceutical 2 Education 1,0,0,0,0,1,0,0,0,0,0,2,0,10,7,0,0,5,0,4,0,0,7
Grip ICT BV,Ready,"Netherlands , Veghel , 5466 AZ",44,1,https://www.odoo.com/partners/grip-ict-bv-1730383,v17:1,44.0,95.0,50,6,Science & Technology 5 Other Services 4 Food / Hospitality / Tourism / Beverage 4 Wholesale / Retail 3 Transportation/Logistics 2 Manufacturing / Maintenance 2 Health / Social Welfare / Pharmaceutical 2 Construction & Renovation 2 IT / Communication / Marketing 1 Finance / Legal / Insurance 1,0,2,0,0,0,0,1,4,0,0,2,0,1,2,0,0,4,0,5,2,0,3
Intelligent Business Solutions (IBS),Ready,"Egypt , Cairo , Cairo Governorate , 11911",44,3,https://www.odoo.com/partners/intelligent-business-solutions-ibs-3522954,v18:1; v17:2,44.0,83.0,100,15,Wholesale / Retail 15 Manufacturing / Maintenance 7 Food / Hospitality / Tourism / Beverage 7 Utilities / Energy / Water supply 3 Transportation/Logistics 3 Health / Social Welfare / Pharmaceutical 2 Other Services 2 Construction & Renovation 1,0,1,0,0,0,0,0,7,0,0,2,0,0,7,0,0,2,0,0,3,3,15
Quilsoft,Ready,"Argentina , Ciudad Autónoma de Buenos Aires , Ciudad Autónoma de Buenos Aires , 1437",44,9,https://www.odoo.com/partners/quilsoft-1651768,v18:7; v17:2,44.0,84.0,200,21,Manufacturing / Maintenance 6 Other Services 3 Construction & Renovation 3 Science & Technology 2 IT / Communication / Marketing 2 HR / Administrative / Consulting 2 Wholesale / Retail 2 Health / Social Welfare / Pharmaceutical 1 Food / Hospitality / Tourism / Beverage 1,0,3,0,0,0,0,0,1,0,2,1,0,2,6,0,0,3,0,2,0,0,2
LoGix Consulting,Ready,"Haiti , PÉTION-VILLE , HT6140",43,0,https://www.odoo.com/partners/logix-consulting-1279417,,43.0,85.0,30,5,Other Services 4 Health / Social Welfare / Pharmaceutical 3 Transportation/Logistics 1 Construction & Renovation 1 Food / Hospitality / Tourism / Beverage 1 Finance / Legal / Insurance 1,0,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,4,0,0,1,0,0
M&J SERPA Zambia,Ready,"Zambia , Lusaka",43,1,https://www.odoo.com/partners/mj-serpa-zambia-20808241,v17:1,43.0,,50,6,Manufacturing / Maintenance 7 Transportation/Logistics 5 Wholesale / Retail 5 Mining & Quarrying 5 Construction & Renovation 3 NGO 3 Agriculture 2 IT / Communication / Marketing 2 Finance / Legal / Insurance 2 HR / Administrative / Consulting 1,2,3,0,0,0,0,2,0,0,1,0,0,2,7,5,3,0,0,0,5,0,5
NASDY,Ready,"Martinique , FORT-DE-FRANCE , 97200",43,0,https://www.odoo.com/partners/nasdy-2324068,,43.0,81.0,30,3,Wholesale / Retail 7 Other Services 6 Health / Social Welfare / Pharmaceutical 3 IT / Communication / Marketing 3 Science & Technology 3 Finance / Legal / Insurance 1 Agriculture 1 Manufacturing / Maintenance 1 Education 1 Construction & Renovation 1,1,1,0,0,1,0,1,0,0,0,3,0,3,1,0,0,6,0,3,0,0,7
Odoo House ApS,Ready,"Denmark , Odder , 8300",43,1,https://www.odoo.com/partners/odoo-house-aps-1089501,v19:1,43.0,90.0,100,12,Manufacturing / Maintenance 11 Science & Technology 9 Wholesale / Retail 9 Other Services 4 Construction & Renovation 4 Health / Social Welfare / Pharmaceutical 3 IT / Communication / Marketing 3 Utilities / Energy / Water supply 1 Transportation/Logistics 1,0,4,0,0,0,0,0,0,0,0,3,0,3,11,0,0,4,0,9,1,1,9
MC-Sistemas,Ready,N/A,42,0,https://www.odoo.com/partners/mc-sistemas-1028173,,42.0,,200,23,Construction & Renovation 2 IT / Communication / Marketing 2 Health / Social Welfare / Pharmaceutical 1 Utilities / Energy / Water supply 1,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0
Origami Solutions,Ready,"Iraq , Erbil , Ankawa , 44003",42,3,https://www.odoo.com/partners/origami-solutions-5377233,v18:2; v17:1,42.0,93.0,40,5,Wholesale / Retail 12 Manufacturing / Maintenance 7 Construction & Renovation 6 Utilities / Energy / Water supply 5 Food / Hospitality / Tourism / Beverage 4 IT / Communication / Marketing 3 Other Services 3 Transportation/Logistics 1 Health / Social Welfare / Pharmaceutical 1 Government 1,0,6,0,0,0,0,0,4,1,0,1,0,3,7,0,0,3,0,0,1,5,12
SCRIMO GmbH,Ready,"Austria , Leonding , 4060",42,0,https://www.odoo.com/partners/scrimo-gmbh-747976,,42.0,94.0,100,14,Manufacturing / Maintenance 10 IT / Communication / Marketing 8 Other Services 6 Wholesale / Retail 6 Science & Technology 4 Food / Hospitality / Tourism / Beverage 3 Health / Social Welfare / Pharmaceutical 2 Utilities / Energy / Water supply 2 Finance / Legal / Insurance 1 Transportation/Logistics 1,0,0,0,0,0,0,1,3,0,0,2,0,8,10,0,0,6,0,4,1,2,6
Same Motion S.A.C,Ready,"Peru , Lima , Miraflores",42,4,https://www.odoo.com/partners/same-motion-sac-449616,v17:4,42.0,,50,12,Other Services 5 Manufacturing / Maintenance 3 Mining & Quarrying 3 IT / Communication / Marketing 2 Finance / Legal / Insurance 1 Transportation/Logistics 1 Health / Social Welfare / Pharmaceutical 1 Real Estate 1 Wholesale / Retail 1,0,0,0,0,0,0,1,0,0,0,1,0,2,3,3,0,5,1,0,1,0,1
Corporación de Sistemas Informáticos S.A,Ready,"Guatemala , Guatemala , Guatemala , 01012",41,0,https://www.odoo.com/partners/corporacion-de-sistemas-informaticos-sa-3628962,,41.0,88.0,100,11,Food / Hospitality / Tourism / Beverage 2 IT / Communication / Marketing 1 Health / Social Welfare / Pharmaceutical 1 Manufacturing / Maintenance 1,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0
EduWeb Consulting Services Corp,Ready,"Panama , Panama City",41,0,https://www.odoo.com/partners/eduweb-consulting-services-corp-2214476,,41.0,,100,11,Education 9 Other Services 4 Wholesale / Retail 2 IT / Communication / Marketing 1 Manufacturing / Maintenance 1 Food / Hospitality / Tourism / Beverage 1,0,0,0,0,9,0,0,1,0,0,0,0,1,1,0,0,4,0,0,0,0,2
Alta Pete Business Solutions,Ready,"Saudi Arabia , Khubar , 34118",40,3,https://www.odoo.com/partners/alta-pete-business-solutions-2565573,v17:3,40.0,84.0,50,8,Manufacturing / Maintenance 6 IT / Communication / Marketing 6 Construction & Renovation 5 Food / Hospitality / Tourism / Beverage 4 Mining & Quarrying 3 Finance / Legal / Insurance 3 Wholesale / Retail 2 Health / Social Welfare / Pharmaceutical 2 Utilities / Energy / Water supply 2 Transportation/Logistics 1,0,5,0,0,0,0,3,4,0,0,2,0,6,6,3,0,0,0,0,1,2,2
Blue Zebra,Ready,"Netherlands , Leiden , 2312NR",40,2,https://www.odoo.com/partners/blue-zebra-3794631,v18:1; v17:1,40.0,81.0,40,6,Wholesale / Retail 18 Manufacturing / Maintenance 8 Other Services 3 IT / Communication / Marketing 2 Health / Social Welfare / Pharmaceutical 2 Construction & Renovation 1,0,1,0,0,0,0,0,0,0,0,2,0,2,8,0,0,3,0,0,0,0,18
INTEGRA INFORMATICA ADMINISTRATIVA,Ready,"Mexico , Nuevo León , SANNICOLAS DE LOS GARZA , 66450",40,3,https://www.odoo.com/partners/integra-informatica-administrativa-2285147,v17:3,40.0,100.0,200,16,Wholesale / Retail 2 Manufacturing / Maintenance 2 Other Services 2 Science & Technology 1 IT / Communication / Marketing 1 Food / Hospitality / Tourism / Beverage 1 Health / Social Welfare / Pharmaceutical 1,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,2,0,1,0,0,2
Open2Bizz B.V.,Ready,"Netherlands , Geleen , 6161 HW",40,1,https://www.odoo.com/partners/open2bizz-bv-10237877,v17:1,40.0,100.0,100,11,Other Services 6 Wholesale / Retail 5 IT / Communication / Marketing 5 Manufacturing / Maintenance 3 Science & Technology 3 Transportation/Logistics 2 Health / Social Welfare / Pharmaceutical 1 Construction & Renovation 1,0,1,0,0,0,0,0,0,0,0,1,0,5,3,0,0,6,0,3,2,0,5
APLICACIONES Y PROGRAMAS PENSADOS EN TI,Ready,"Mexico , Querétaro , TEQUISQUIAPAN , 76750",39,3,https://www.odoo.com/partners/aplicaciones-y-programas-pensados-en-ti-8072204,v18:2; v17:1,39.0,,200,17,Health / Social Welfare / Pharmaceutical 9 Food / Hospitality / Tourism / Beverage 7 IT / Communication / Marketing 5 Wholesale / Retail 5 Manufacturing / Maintenance 4 Construction & Renovation 3 Finance / Legal / Insurance 2 Other Services 2 NGO 1 Utilities / Energy / Water supply 1,0,3,0,0,0,0,2,7,0,0,9,0,5,4,0,1,2,0,0,0,1,5
"Asesoría, Consultoría y Servicios sobre Open Source S.L.",Ready,"Spain , Navarra (Nafarroa) , Pamplona , 31006",39,3,https://www.odoo.com/partners/asesoria-consultoria-y-servicios-sobre-open-source-sl-80090,v19:1; v18:1; v17:1,39.0,100.0,50,6,Agriculture 8 IT / Communication / Marketing 4 Manufacturing / Maintenance 4 Science & Technology 4 Construction & Renovation 4 Other Services 4 Wholesale / Retail 3 Food / Hospitality / Tourism / Beverage 3 Utilities / Energy / Water supply 2 Health / Social Welfare / Pharmaceutical 2,8,4,0,0,0,0,0,3,0,0,2,0,4,4,0,0,4,0,4,0,2,3
Camptocamp France SAS,Ready,"France , Le bourget du lac , 73370",39,18,https://www.odoo.com/partners/camptocamp-france-sas-15837,v19:4; v18:5; v17:9,39.0,100.0,200,24,Science & Technology 6 Other Services 6 Food / Hospitality / Tourism / Beverage 5 Wholesale / Retail 4 Manufacturing / Maintenance 3 Health / Social Welfare / Pharmaceutical 2 IT / Communication / Marketing 2 Utilities / Energy / Water supply 2 Transportation/Logistics 1 Agriculture 1,1,0,0,0,0,0,0,5,0,0,2,0,2,3,0,0,6,0,6,1,2,4
Oncompetence SpA,Ready,"Argentina , Córdoba , Cordoba , 5186",39,0,https://www.odoo.com/partners/oncompetence-spa-7115303,,39.0,94.0,40,10,Other Services 3 Science & Technology 2 Manufacturing / Maintenance 2 Food / Hospitality / Tourism / Beverage 2 Utilities / Energy / Water supply 1 Construction & Renovation 1,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,3,0,2,0,1,0
"AGILIS ENTERPRISE SOLUTIONS, INC.",Ready,"Philippines , 1127",38,3,https://www.odoo.com/partners/agilis-enterprise-solutions-inc-1419840,v18:1; v17:2,38.0,,100,14,Wholesale / Retail 13 Manufacturing / Maintenance 5 Other Services 3 Education 2 Finance / Legal / Insurance 1 Transportation/Logistics 1 Agriculture 1 Science & Technology 1 Food / Hospitality / Tourism / Beverage 1 Health / Social Welfare / Pharmaceutical 1,1,0,0,0,2,0,1,1,0,0,1,0,0,5,0,0,3,0,1,1,0,13
Akarigo Ltd,Ready,"United Kingdom , London , N1 7GU",38,4,https://www.odoo.com/partners/akarigo-ltd-1882307,v18:3; v17:1,38.0,95.0,100,17,Wholesale / Retail 5 Manufacturing / Maintenance 5 Science & Technology 4 Other Services 3 Utilities / Energy / Water supply 2 Construction & Renovation 2 Food / Hospitality / Tourism / Beverage 2 Education 2 Health / Social Welfare / Pharmaceutical 1 Finance / Legal / Insurance 1,0,2,0,0,2,0,1,2,0,0,1,0,0,5,0,0,3,0,4,0,2,5
Clubit BV,Ready,"Belgium , Niel , 2845",38,0,https://www.odoo.com/partners/clubit-bv-5747846,,38.0,90.0,100,10,Wholesale / Retail 6 Other Services 6 IT / Communication / Marketing 3 Manufacturing / Maintenance 3 Construction & Renovation 2 Education 2 Science & Technology 1 Utilities / Energy / Water supply 1 Government 1 Health / Social Welfare / Pharmaceutical 1,0,2,0,0,2,0,0,0,1,0,1,0,3,3,0,0,6,0,1,0,1,6
